,videoID,title,views,likes,favorites,comments,country,city,positive
48,5z3i0mY0YMg,Which Country Do You LOVE The Most? | GABON,14345,430,0,362,Gabon,,True
49,8PCEyCSkres,Which Country Do You LOVE The Most? | BENIN,9109,544,0,101,Benin,,True
50,tWnHFUYpylE,Which Country Do You LOVE The Most? | CONGO 🇨🇬,12312,478,0,149,Congo 🇨🇬,,True
51,IaHRoaQ5Is8,Which Country Do You LOVE The Most? | DR Congo,9167,333,0,205,Dr Congo,,True
52,KofjU2e-uZA,Which Country Do You LOVE The Most? | NIGER,21339,626,0,335,Niger,,True
53,gd3LQ7nHRPI,Which Country Do You LOVE The Most? | BURUNDI,11976,393,0,88,Burundi,,True
54,SeXAzYi3Qrs,Which Country Do You LOVE The Most? | UAE,34134,800,0,322,Uae,,True
55,5cVVxCwmJC0,Which Country Do You LOVE The Most? | YEMEN,42176,1087,0,485,Yemen,,True
56,KftB9YQVXvI,Which Country Do You LOVE The Most? | JORDAN,30929,883,0,444,Jordan,,True
57,pd4jpFz-F4o,Which Country Do You LOVE The Most? | BIGGEST TRAVELERS,14961,524,0,173,Biggest Travelers,,True
58,Qha8nmcp4sA,Which Country Do You LOVE The Most? | IRAQI KURDISTAN,72634,1849,0,1499,Iraqi Kurdistan,,True
59,y9ObCpShCd0,Which Country Do You LOVE The Most? | MAURITANIA,24436,565,0,307,Mauritania,,True
60,Jca3V2iwMoU,Which Country Do You LOVE The Most? | SLOVAKIA,91702,2043,0,563,Slovakia,,True
61,1K_VyBUWFdM,Which Country Do You LOVE The Most? | NIGERIA,26318,712,0,367,Nigeria,,True
62,HF9-uu-terc,Which Country Do You LOVE The Most? | AZERBAIJAN,143943,3699,0,2306,Azerbaijan,,True
63,eF5wsuAHkIE,Which Country Do You LOVE The Most? | MAURITIUS,19294,487,0,198,Mauritius,,True
64,H8OWolWInK0,Which Country Do You LOVE The Most? | SEYCHELLES,12000,353,0,81,Seychelles,,True
65,NqOdX_s3a0A,Which Country Do You LOVE The Most? | BANGLADESH,130286,3579,0,3106,Bangladesh,,True
66,HCNn6TFCC3s,Which Country Do You LOVE The Most? | CENTRAL AFRICAN REPUBLIC,9188,216,0,61,Central African Republic,,True
67,o1q7csrenws,Which Country Do You LOVE The Most? | COMOROS,6499,191,0,61,Comoros,,True
68,jUD6Is6SS6I,Which Country Do You LOVE The Most? | SAINT LUCIA,11324,310,0,103,Saint Lucia,,True
69,5CLaWCnuC78,Which Country Do You LOVE The Most? | TUNISIA,81424,2092,0,1863,Tunisia,,True
70,eTmIJ9wPQwE,Which Country Do You LOVE The Most? | ETHIOPIA,120358,2616,0,1582,Ethiopia,,True
71,5eq1Ru4jAk0,Which Country Do You LOVE The Most? | ZANZIBAR,7932,217,0,52,Zanzibar,,True
72,M46Qr-mMLFM,Which Country Do You LOVE The Most? | EQUATORIAL GUINEA,24266,628,0,255,Equatorial Guinea,,True
73,N3t6uMI0TJM,Which Country Do You LOVE The Most? | CHAD,11337,322,0,161,Chad,,True
74,AXVpi8aZwxg,Which Country Do You LOVE The Most? | PERU,29459,1191,0,445,Peru,,True
75,_Eam8hi0-rY,Which Country Do You LOVE The Most? | CHECHEN REPUBLIC,336485,4433,0,3129,Chechen Republic,,True
76,TKWktR_HWaA,Which Country Do You LOVE The Most? | BOLIVIA,13060,397,0,262,Bolivia,,True
77,XkF-RRO2gwY,Which Country Do You LOVE The Most? | ARMENIA,61934,1406,0,1451,Armenia,,True
78,oI5nHaBDBGI,Which Country Do You LOVE The Most? | GEORGIA,43780,1049,0,482,Georgia,,True
79,1AXYjTziESA,Which Country Do You LOVE The Most? | DAGESTAN,85111,1528,0,1324,Dagestan,,True
80,kLLtPe_RysY,Which Country Do You LOVE The Most? | QATAR 🇶🇦,28307,670,0,240,Qatar 🇶🇦,,True
81,8XL5TLBc_9s,Which Country Do You LOVE The Most? | SYRIA,73743,1644,0,1869,Syria,,True
82,iBYX7mXfirc,Which Country Do You LOVE The Most? | LEBANON,46608,992,0,467,Lebanon,,True
83,hjVydrWU5qw,Which Country Do You LOVE The Most? | CHILE,12824,412,0,194,Chile,,True
84,-qooYICjzWc,Which Country Do You LOVE The Most? | ECUADOR,6093,180,0,74,Ecuador,,True
85,_9iCCIUB9SA,Which Country Do You LOVE The Most? | MEXICO,17062,490,0,575,Mexico,,True
86,8pqigbnY_sY,Which Country Do You LOVE The Most? | MADAGASCAR,7531,218,0,141,Madagascar,,True
87,yFy7wHhHhQE,Which Country Do You LOVE The Most? | MONGOLIA,96837,2000,0,1257,Mongolia,,True
88,hjFtYHdhoN4,Which Country Do You LOVE The Most? | INDONESIA,40059,886,0,1191,Indonesia,,True
